Tên khoa học,URL ảnh,Tác giả,Nguồn
Buceros bicornis,https://inaturalist-open-data.s3.amazonaws.com/photos/40492550/medium.jpg,"(c) ConnK, some rights reserved (CC BY-NC), uploaded by ConnK",https://www.inaturalist.org/observations/26096809#data_quality_assessment
Accipiter badius,https://inaturalist-open-data.s3.amazonaws.com/photos/26286/medium.jpg,"(c) Muzaffar Bukhari, some rights reserved (CC BY-NC-SA)",https://www.flickr.com/photos/83582442@N00/2523211777
Accipiter gentilis,https://inaturalist-open-data.s3.amazonaws.com/photos/65608664/medium.jpg,"(c) Roberto Ghiglia, some rights reserved (CC BY-NC), uploaded by Roberto Ghiglia",https://www.inaturalist.org/observations/41360761#data_quality_assessment
Accipiter gularis,https://inaturalist-open-data.s3.amazonaws.com/photos/251281815/medium.jpg,"(c) Benjamin Koh, some rights reserved (CC BY-NC), uploaded by Benjamin Koh",https://www.inaturalist.org/observations/146188908#data_quality_assessment
Accipiter soloensis,https://inaturalist-open-data.s3.amazonaws.com/photos/15811956/medium.jpg,"(c) Tan Kok Hui, some rights reserved (CC BY-NC), uploaded by Tan Kok Hui",https://www.inaturalist.org/observations/11166767#data_quality_assessment
Accipiter trivirgatus,https://inaturalist-open-data.s3.amazonaws.com/photos/199607349/medium.jpeg,"(c) Amaël Borzée, some rights reserved (CC BY-NC), uploaded by Amaël Borzée",https://www.inaturalist.org/observations/118162504#data_quality_assessment
Accipiter virgatus,https://inaturalist-open-data.s3.amazonaws.com/photos/60076195/medium.jpg,"(c) John Clough, some rights reserved (CC BY-NC), uploaded by John Clough",https://www.inaturalist.org/observations/37845799#data_quality_assessment
Aceros undulatus,https://inaturalist-open-data.s3.amazonaws.com/photos/301434/medium.JPG,"(c) Carmelo López Abad, some rights reserved (CC BY-NC), uploaded by Carmelo López Abad",https://www.inaturalist.org/observations/240861#data_quality_assessment
Anhinga melanogaster,https://inaturalist-open-data.s3.amazonaws.com/photos/20353230/medium.jpg,"(c) Tan Kok Hui, some rights reserved (CC BY-NC), uploaded by Tan Kok Hui",https://www.inaturalist.org/observations/13799494#data_quality_assessment
Anthracoceros albirostris,https://inaturalist-open-data.s3.amazonaws.com/photos/186227548/medium.jpg,"(c) David Cook, some rights reserved (CC BY-NC)",https://www.flickr.com/photos/kookr/42119060791/
Aquila chrysaetos,https://inaturalist-open-data.s3.amazonaws.com/photos/31937617/medium.jpeg,"(c) ungerlord, some rights reserved (CC BY-NC), uploaded by ungerlord",https://www.inaturalist.org/observations/20715283#data_quality_assessment
Aquila clanga,https://inaturalist-open-data.s3.amazonaws.com/photos/57957070/medium.jpg,"(c) Koshy Koshy, some rights reserved (CC BY)",https://www.flickr.com/photos/kkoshy/15625081007/
