scientific_name,common_name_vi,url,category,category_url
Elephas maximus,Voi châu á,http://vnredlist.vast.vn/elephas-maximus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Galeopterus variegatus,Chồn dơi,http://vnredlist.vast.vn/galeopterus-variegatus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nycticebus bengalensis,Cu li lớn,http://vnredlist.vast.vn/nycticebus-bengalensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Xanthonycticebus intermedius,Cu li miền bắc,http://vnredlist.vast.vn/xanthonycticebus-intermedius/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Xanthonycticebus pygmaeus,Cu li nhỏ,http://vnredlist.vast.vn/xanthonycticebus-pygmaeus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macaca arctoides,Khỉ mặt đỏ,http://vnredlist.vast.vn/macaca-arctoides/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macaca assamensis,Khỉ mốc,http://vnredlist.vast.vn/macaca-assamensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macaca fascicularis,Khỉ đuôi dài,http://vnredlist.vast.vn/macaca-fascicularis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macaca leonina,Khỉ đuôi lợn,http://vnredlist.vast.vn/macaca-leonina/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macaca mulatta,Khỉ vàng,http://vnredlist.vast.vn/macaca-mulatta/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pygathrix cinerea,Chà vá chân xám,http://vnredlist.vast.vn/pygathrix-cinerea/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pygathrix nemaeus,Chà vá chân nâu,http://vnredlist.vast.vn/pygathrix-nemaeus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pygathrix nigripes,Chà vá chân đen,http://vnredlist.vast.vn/pygathrix-nigripes/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Rhinopithecus avunculus,Voọc mũi hếch,http://vnredlist.vast.vn/rhinopithecus-avunculus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus crepusculus,Voọc xám,http://vnredlist.vast.vn/trachypithecus-crepusculus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus delacouri,Voọc mông trắng,http://vnredlist.vast.vn/trachypithecus-delacouri/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus francoisi,Voọc đen má trắng,http://vnredlist.vast.vn/trachypithecus-francoisi/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus germaini,Voọc bạc đông dương,http://vnredlist.vast.vn/trachypithecus-germaini/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus hatinhensis,Voọc hà tĩnh,http://vnredlist.vast.vn/trachypithecus-hatinhensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus margarita,Voọc bạc trường sơn,http://vnredlist.vast.vn/trachypithecus-margarita/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Trachypithecus poliocephalus,Voọc cát bà,http://vnredlist.vast.vn/trachypithecus-poliocephalus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus annamensis,Vượn má vàng trung bộ,http://vnredlist.vast.vn/nomascus-annamensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus concolor,Vượn đen tuyền,http://vnredlist.vast.vn/nomascus-concolor/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus gabriellae,Vượn má vàng,http://vnredlist.vast.vn/nomascus-gabriellae/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus leucogenys,Vượn đen má trắng,http://vnredlist.vast.vn/nomascus-leucogenys/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus nasutus,Vượn cao vít,http://vnredlist.vast.vn/nomascus-nasutus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nomascus siki,Vượn siki,http://vnredlist.vast.vn/nomascus-siki/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Lepus sinensis,Thỏ rừng trung hoa,http://vnredlist.vast.vn/lepus-sinensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Nesolagus timminsi,Thỏ vằn trường sơn,http://vnredlist.vast.vn/nesolagus-timminsi/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Neohylomys hainanensis,Dím hải nam,http://vnredlist.vast.vn/neohylomys-hainanensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Blarinella quadraticauda,Chuột chù răng đỏ,http://vnredlist.vast.vn/blarinella-quadraticauda/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Chodsigoa caovansunga,Chuột chù cao văn sung,http://vnredlist.vast.vn/chodsigoa-caovansunga/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Cynopterus brachyotis,Dơi chó tai ngắn,http://vnredlist.vast.vn/cynopterus-brachyotis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Macroglossus minimus,Dơi ăn mật hoa bé,http://vnredlist.vast.vn/macroglossus-minimus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pteropus hypomelanus,Dơi ngựa bé,http://vnredlist.vast.vn/pteropus-hypomelanus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pteropus lylei,Dơi ngựa ly-lê,http://vnredlist.vast.vn/pteropus-lylei/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Pteropus vampyrus,Dơi ngựa lớn,http://vnredlist.vast.vn/pteropus-vampyrus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Rhinolophus episcopus,Dơi lá tai to,http://vnredlist.vast.vn/rhinolophus-episcopus/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Rhinolophus marshalli,Dơi lá mũi rẻ quạt,http://vnredlist.vast.vn/rhinolophus-marshalli/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Rhinolophus rex,Dơi lá quạt,http://vnredlist.vast.vn/rhinolophus-rex/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Rhinolophus siamensis,Dơi lá mũi tai dài,http://vnredlist.vast.vn/rhinolophus-siamensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Coelops frithii,Dơi nếp mũi không đuôi,http://vnredlist.vast.vn/coelops-frithii/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Hipposideros alongensis,Dơi nếp mũi hạ long,http://vnredlist.vast.vn/hipposideros-alongensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Hipposideros griffini,Dơi nếp mũi grip-phin,http://vnredlist.vast.vn/hipposideros-griffini/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
Hipposideros khaokhouayensis,Dơi nếp mũi cát bà,http://vnredlist.vast.vn/hipposideros-khaokhouayensis/,dong-vat-co-day-song/lop-thu,http://vnredlist.vast.vn/dong-vat/dong-vat-co-day-song/lop-thu/
